name,abbreviation
Addgene,ADDGENE
Mouse Genome Informatics,MGI
National Center for Biotechnology Information,NCBI
Open Researcher and Contributor ID,ORCID
Research Organization Registry,ROR
Research Resource Identifiers,RRID
