name,abbreviation
Addgene,ADDGENE
Mouse Genome Informatics,MGI
Research Organization Registry,ROR
Research Resource Identifiers,RRID
National Center for Biotechnology Information,NCBI
Open Researcher and Contributor ID,ORCID
